AtomicNumber,FIP,SS
1,13.59,0
2,24.58,10.92
3,5.39,0
4,9.32,0
5,8.29,0
6,11.26,8.52
7,14.53,7.92
8,13.61,8.83
9,17.42,0
10,21.56,8.001
11,5.13,6.32
12,7.64,7.58
13,5.98,6.49
14,8.15,7.56
15,10.48,0
16,10.36,7.33
17,12.96,0
18,15.75,6.40
19,4.34,0
20,6.11,6.35
21,6.56,0
22,6.82,0
23,6.74,0
24,6.76,5.67
25,7.43,0
26,7.90,7.50
27,7.88,0
28,7.63,0
29,7.72,0
30,9.39,0
